id,name,ele,lng,lat,flights,top_pilot,top_dist
26863041,Großglockner,3798,12.6938826,47.0745464,1,Loris Filippini,11.88 km
91313899,Kleinglockner,3770,12.6952157,47.0741844,1,Loris Filippini,11.88 km
26865139,Wildspitze,3768,10.8672222,46.8852371,3,Juraj Koreň,21.81 km
910453935,Wildspitze (Nordgipfel),3765,10.867685,46.8866911,3,Juraj Koreň,21.81 km
26865132,Weißkugel - Palla Bianca,3738,10.726062,46.7978232,2,Valentin Platzer,35.61 km
2667085097,Hofmannspitze,3722,12.6865856,47.0794463,0,,
256041738,Glocknerwand,3721,12.688544,47.0776381,0,,
256042820,Teufelshorn,3680,12.691688,47.0766394,0,,
321174826,Kreuzerschneide,3677,10.87222,46.888445,0,,
256041740,Großvenediger,3662,12.3457362,47.1092533,7,Christian Schartner,12.95 km
321174799,Hinterer Brochkogel,3635,10.8496613,46.8861516,0,,
26863151,Hintere Schwärze,3624,10.9146852,46.7734046,0,,
256042799,Similaun,3606,10.8806482,46.763682,1,Alberto Dal Maso,10.81 km
256041669,Vorderer Brochkogel,3565,10.8505808,46.8748832,0,,
494054611,Großes Wiesbachhorn,3564,12.7549108,47.1567443,2,Maria Edlbauer,25.53 km
256042004,Rainerhorn,3559,12.3641464,47.1008482,0,,
514472510,Innerer Bärenbartkogel - Cima Barba d'Orso di Dentro,3557,10.7198864,46.7998489,0,,
256041890,Östliche Marzellspitze,3555,10.9107249,46.7711488,0,,
256042838,Ötztaler Urkund,3554,10.8735642,46.8807563,0,,
256041987,Großer Ramolkogel,3549,10.9591333,46.846794,0,,
256041827,Hochvernagtspitze,3539,10.7939374,46.881274,0,,
256042757,Schalfkogel,3537,10.9590789,46.8017625,0,,
321178624,Watzespitze,3532,10.7954208,46.9896651,0,,
515635102,Mittlere Marzellspitze,3529,10.9048401,46.7679641,0,,
514450284,Langtauferer Spitze - Punta Vallelunga,3529,10.7459997,46.8047214,0,,
256041959,Mutmalspitze,3528,10.9084967,46.7830059,0,,
321172904,Westliche Marzellspitze,3527,10.8962035,46.7699606,0,,
515120670,Mittlerer Ramolkogel,3518,10.9630645,46.8460877,0,,
333047663,Innere Quellspitze - Cima della Sorgente di Dentro,3516,10.7307155,46.78823,0,,
256041694,Finailspitze - Punta di Finale,3514,10.8318669,46.7804128,0,,
256042742,Romariswandköpfe,3511,12.6685891,47.0914708,0,,
2667085167,Teufelskamp,3511,12.6792517,47.0868003,0,,
333899881,Hochfeiler - Gran Pilastro,3510,11.7275919,46.972515,0,,
256042855,Weißseespitze - Cima del Lago Bianco,3510,10.7168691,46.8462323,0,,
410930695,Zuckerhütl,3507,11.1539603,46.9643134,0,,
938515148,Hohes Aderl,3506,12.3500209,47.1020278,0,,
795647944,Schwarze Wand,3506,12.3703213,47.1036784,0,,
256041690,Fluchtkogel,3500,10.7921997,46.8582269,0,,
307311105,Dreiherrnspitze,3499,12.2407453,47.0691684,0,,
256042770,Schrankogel,3497,11.098894,47.0442042,0,,
1446396188,Rötspitz,3495,12.2048713,47.0269755,0,,
256041685,Firmisanschneide,3490,10.9536995,46.8197993,0,,
328348442,Hintere Hintereisspitze,3486,10.763872,46.8226264,0,,
514315435,Petersenspitze,3484,10.8402307,46.8887477,0,,
256041842,Hochwilde - Cima Altissima,3482,11.0222673,46.7654482,0,,
1673209580,Westliche Simonyspitze,3481,12.2614636,47.0727679,0,,
1412369169,Großer Möseler - Grande Mèsule,3479,11.7818812,46.9924508,1,Pál Takáts,20.05 km
256042765,Schneewinkelkopf,3476,12.6600148,47.0973174,0,,
1629378008,Olperer,3476,11.658719,47.0533106,1,Raimund Mair,24.17 km
256042795,Hinterer Seelenkogel - Cima delle Anime,3475,11.0443642,46.8015987,0,,
256042749,Ruderhofspitze,3474,11.1431616,47.0397464,1,Georg Czermak,16.63 km
514472518,Äußerer Bärenbartkogel - Cima Barba d'Orso di Fuori,3473,10.6996537,46.7964077,0,,
514294764,Schluchtkogel,3472,10.8757436,46.8974059,0,,
256041797,Hochferner - Gran Vedretta,3470,11.7181142,46.9779378,0,,
527375225,Kleinvenediger,3470,12.3574996,47.1171539,0,,
514351188,Schwarzwandspitze,3467,10.7872157,46.8750917,0,,
256041857,Karlesspitze - Cima di Quaira,3463,10.9749815,46.7721198,0,,
514754183,Hochwilde (Nordgipfel),3461,11.0190085,46.7679577,0,,
795647943,Hoher Zaun,3457,12.377606,47.1000922,0,,
516012326,Schwemser Spitze - Punta di Oberettes,3456,10.732874,46.7737015,0,,
321173424,Wilder Pfaff - Cima del Prete,3456,11.1644381,46.9658439,3,Peter Siller,54.22 km
321178366,Vordere Ölgrubenspitze,3456,10.77326,46.908527,0,,
256041918,Kreuzspitze,3455,10.87,46.8163889,0,,
321178389,Bliggspitze,3454,10.786113,46.91803,0,,
2527860078,Johannisberg,3453,12.6732572,47.1092442,0,,
514440388,Mittlere Hintereisspitze,3451,10.7755244,46.8265643,0,,
1673211667,Östliche Simonyspitze,3448,12.267662,47.0753862,0,,
515093369,Querkogel,3448,10.9674368,46.7832894,0,,
515093377,Kleinleitenspitze,3446,10.9623805,46.7955789,0,,
256042805,Sonklarspitze - Cima di Malavalle,3444,11.1647222,46.9555555,1,Peter Siller,21.50 km
319571016,Hinterer Brunnenkogel,3440,10.8613294,46.9126255,1,Moritz Schultes,9.34 km
321174626,Vordere Hintereisspitze,3437,10.782986,46.8324003,0,,
315864274,Saldurspitze - Punta Saldura,3433,10.7351023,46.7401061,0,,
514450282,Hochvernaglwand - Croda Vernaga Alta,3433,10.7593044,46.8184019,0,,
515126470,Nördlicher Ramolkogel,3428,10.9699359,46.848444,0,,
256042816,Hinterer Spiegelkogel,3426,10.9588303,46.8292483,1,Tim Bek,6.57 km
256041678,Eiskögele,3426,12.6557808,47.0998746,0,,
514738609,Mittlerer Seelenkogel,3426,11.0349851,46.8089366,0,,
2676984872,Umbalköpfl,3426,12.2483421,47.0706035,0,,
514365408,Erichspitze,3425,10.7764492,46.8494284,0,,
1272925422,Südliche Sexegertenspitze,3424,10.7934662,46.8840093,0,,
256042847,Verpeilspitze,3423,10.804949,47.0034705,0,,
2929609591,Klockerin,3422,12.7360189,47.1472002,0,,
256041703,Wilder Freiger - Cima Libera,3418,11.1899934,46.9705175,3,Herbert Holaus,17.13 km
321172792,Westlicher Fineilkopf,3418,10.8187485,46.7746956,0,,
3020195456,Östliche Seespitze,3416,11.1517378,47.0494086,0,,
333900218,Turnerkamp - Cima di Campo,3416,11.8097646,46.9901885,0,,
514370021,Kesselwandspitze,3414,10.7980997,46.8485314,0,,
4350654117,Hinterer Bratschenkopf,3413,12.7431039,47.1512627,0,,
1638988656,Schrammacher,3410,11.642467,47.0269922,0,,
514220847,Weißer Kogel,3407,10.9060718,46.8917016,0,,
515656546,Talleitspitze,3406,10.8868972,46.8332138,0,,
514680905,Hoher First - Monte Principe,3405,11.080731,46.826586,0,,
333900137,Kleiner Möseler - Piccolo Mèsule,3405,11.7861305,46.9915288,0,,
515641672,Hauslabkogel,3402,10.8464071,46.7872963,0,,
2671047776,Daberspitze,3402,12.2068612,47.0163093,0,,
2460844015,Dahmannspitze,3401,10.7762735,46.8471159,0,,
2928776809,Vorderer Bratschenkopf,3401,12.7467579,47.1487308,0,,
321173133,Liebener Spitze,3400,11.0757044,46.8203848,0,,
321174748,Hochvernagtwand,3400,10.805372,46.886132,0,,
515155669,Gampleskogel,3399,10.9760082,46.8672665,0,,
256041699,Fluchthorn,3398,10.2271003,46.8914194,0,,
515642802,Sennkogel,3398,10.8561698,46.8047894,0,,
515098622,Hinterer Diemkogel,3398,10.9451884,46.8032934,0,,
5153211060,Mittleres Fluchthorn,3397,10.2268606,46.893179,0,,
2527835709,Großer Bärenkopf,3396,12.7315409,47.130998,0,,
1632603249,Hohe Geige,3394,10.9086494,47.0048084,0,,
514294732,Vorderer Brunnenkogel,3393,10.856853,46.9192652,0,,
321172955,Rötenspitze,3393,10.9438015,46.7752477,0,,
321178534,Rostizkogel,3392,10.795477,46.968797,1,Johannes Duschl,10.70 km
877245616,Signalgipfel,3392,11.1929738,46.9681212,5,Peter Siller,54.64 km
256042769,Schrandele,3392,11.1117885,47.0547828,0,,
4554645263,Westl. Liebener Spitze,3389,11.0736463,46.8200186,0,,
333900114,Möselekopf,3389,11.7805429,46.9887401,0,,
1829604689,Hohes Eis,3388,11.1638045,46.9523934,0,,
1673209579,Hintere Gubachspitze,3387,12.2578442,47.0641304,0,,
515155667,Nörlicher Latschkogel,3386,10.9735572,46.8657563,0,,
514511396,Äußere Quellspitze - Cima della Sorgente,3385,10.7294888,46.7784582,0,,
328348477,Zinne,3381,10.758507,46.82673,0,,
2808382303,Fußstein,3380,11.6494738,47.047063,0,,
2992569379,Hölltalspitze,3379,11.1212117,47.0265878,0,,
2992569387,Östliche Schwarzenbergspitze,3379,11.120265,47.0312097,0,,
256042788,Schwabenkopf,3379,10.7936111,47.0066667,0,,
333900528,Großer Löffler - Monte Lovello,3378,11.9155944,47.0325811,0,,
256041888,Nördliche Malhamspitz,3373,12.259237,47.0493651,0,,
321178413,Eiskastenspitze,3373,10.791755,46.92972,0,,
795641022,Hoher Eichham,3371,12.4066176,47.0537992,0,,
256042853,Hoher Weißzint - Punta Bianca,3371,11.7470355,46.9688703,1,Hannes Kuenzer,17.61 km
321174933,Innere Schwarze Schneide,3369,10.921151,46.924046,0,,
333900402,Schwarzenstein - Sasso Nero,3369,11.8740404,47.0100807,2,Oskar Weissteiner,27.34 km
392106952,Hoher Tenn,3368,12.7587276,47.1800091,0,,
515098628,Vorderer Diemkogel,3368,10.9230808,46.8109781,0,,
3016500825,Pfaffenkogel,3366,11.1452373,46.967393,1,Siegfried Steixner,25.09 km
516060008,Freibrunner Spitze - Cima Fontana,3366,10.6896429,46.792352,0,,
1580241385,Vorderer Brunnenkogel,3364,11.1052568,47.083369,0,,
2676984861,Mittlere Malhamspitz,3364,12.2585088,47.0467258,0,,
2992569385,Westliche Schwarzenbergspitze,3364,11.1160973,47.032205,0,,
321172873,Kleiner Similaun - Piccolo Similaun,3363,10.8692095,46.7659506,0,,
